id_station;date;value;value_max
GMC_37264604156;2017-06-24 10:59:29;6.0;-9999.0
GMC_7814622031;2017-06-24 10:59:26;10.0;-9999.0
GMC_26431708726;2017-06-24 10:59:24;10.0;-9999.0
GMC_21609553840;2017-06-24 10:59:22;7.0;-9999.0
GMC_42792246914;2017-06-24 10:59:15;5.5;-9999.0
GMC_80235319380;2017-06-24 10:59:09;11.0;-9999.0
GMC_27939462484;2017-06-24 10:59:09;15.0;-9999.0
GMC_94079764253;2017-06-24 10:59:07;10.0;-9999.0
GMC_68023180101;2017-06-24 10:59:00;13.68;-9999.0
GMC_90915129726;2017-06-24 10:58:57;10.0;-9999.0
GMC_13418589539;2017-06-24 10:58:55;76.0;-9999.0
GMC_4941578;2017-06-24 10:58:54;6.0;-9999.0
GMC_49693833831;2017-06-24 10:58:50;13.0;-9999.0
GMC_50192541587;2017-06-24 10:58:42;13.0;-9999.0
GMC_2344758;2017-06-24 10:58:41;7.0;-9999.0
GMC_5033004996;2017-06-24 10:58:36;10.0;-9999.0
GMC_20809198890;2017-06-24 10:58:36;12.0;-9999.0
GMC_71594888910;2017-06-24 10:58:35;11.5;-9999.0
GMC_34949962097;2017-06-24 10:58:34;10.0;-9999.0
GMC_1006303671;2017-06-24 10:58:34;8.0;-9999.0
GMC_1006303671;2017-06-24 10:58:29;6.5;-9999.0
GMC_16996975435;2017-06-24 10:58:20;5.0;-9999.0
GMC_39390553968;2017-06-24 10:58:16;12.5;-9999.0
GMC_43991129148;2017-06-24 10:58:02;7.0;-9999.0
GMC_39265285626;2017-06-24 10:57:47;8.55;-9999.0
GMC_3800046226;2017-06-24 10:57:45;24.0;-9999.0
GMC_11422030296;2017-06-24 10:57:37;10.0;-9999.0
GMC_36200613359;2017-06-24 10:57:35;14.0;-9999.0
GMC_65690110242;2017-06-24 10:57:27;8.0;-9999.0
GMC_14424546023;2017-06-24 10:57:12;12.0;-9999.0
GMC_40139127413;2017-06-24 10:56:31;9.5;-9999.0
GMC_74731881320;2017-06-24 10:56:13;37.05;-9999.0
GMC_38635237742;2017-06-24 10:55:54;11.0;-9999.0
GMC_40103204093;2017-06-24 10:55:45;10.5;-9999.0
GMC_30245678171;2017-06-24 10:55:38;9.0;-9999.0
GMC_36874017171;2017-06-24 10:55:13;12.0;-9999.0
GMC_77158412085;2017-06-24 10:54:44;7.0;-9999.0
GMC_32120372304;2017-06-24 10:53:43;6.5;-9999.0
GMC_5825758027;2017-06-24 10:51:26;11.0;-9999.0
GMC_47802496980;2017-06-24 10:45:19;11.5;-9999.0
GMC_44857077941;2017-06-24 10:43:13;14.0;-9999.0
GMC_58261394449;2017-06-24 10:20:31;8.5;-9999.0
GMC_71820803847;2017-06-24 09:30:03;6.5;-9999.0
GMC_97784528160;2017-06-24 06:38:06;14.0;-9999.0
GMC_40846719242;2017-06-24 03:43:27;12.0;-9999.0
GMC_85119125066;2017-06-24 03:17:26;11.5;-9999.0
GMC_73879486152;2017-06-24 00:42:43;8.0;-9999.0
GMC_42786510256;2017-06-23 19:42:33;7.0;-9999.0
GMC_97784528160;2017-06-23 17:46:18;6.0;-9999.0
GMC_8491202640;2017-06-23 17:44:57;9.0;-9999.0
GMC_42792246914;2017-06-24 10:58:14;7.5;-9999.0
GMC_80235319380;2017-06-24 10:58:08;11.0;-9999.0
GMC_27939462484;2017-06-24 10:58:07;12.0;-9999.0
GMC_94079764253;2017-06-24 10:58:05;11.5;-9999.0
GMC_68023180101;2017-06-24 10:58:00;14.25;-9999.0
GMC_13418589539;2017-06-24 10:57:54;57.5;-9999.0
GMC_2344758;2017-06-24 10:57:40;8.0;-9999.0
GMC_71594888910;2017-06-24 10:57:34;9.0;-9999.0
GMC_71594888910;2017-06-24 10:57:28;7.0;-9999.0
GMC_37264604156;2017-06-24 10:57:26;10.0;-9999.0
GMC_26431708726;2017-06-24 10:57:22;8.0;-9999.0
GMC_4941578;2017-06-24 10:56:52;8.0;-9999.0
GMC_49693833831;2017-06-24 10:56:48;14.0;-9999.0
GMC_50192541587;2017-06-24 10:56:39;16.0;-9999.0
GMC_20809198890;2017-06-24 10:56:35;15.0;-9999.0
GMC_5033004996;2017-06-24 10:56:30;12.0;-9999.0
GMC_34949962097;2017-06-24 10:56:29;9.0;-9999.0
GMC_16996975435;2017-06-24 10:56:19;6.5;-9999.0
GMC_1006303671;2017-06-24 10:54:32;13.0;-9999.0
GMC_7814622031;2017-06-24 10:54:25;10.0;-9999.0
GMC_21609553840;2017-06-24 10:54:17;5.5;-9999.0
GMC_90915129726;2017-06-24 10:53:52;7.0;-9999.0
GMC_42792246914;2017-06-24 10:54:10;7.5;-9999.0
GMC_39265285626;2017-06-24 10:54:09;9.12;-9999.0
GMC_80235319380;2017-06-24 10:54:04;6.5;-9999.0
GMC_68023180101;2017-06-24 10:54:00;9.69;-9999.0
GMC_27939462484;2017-06-24 10:53:59;14.0;-9999.0
GMC_94079764253;2017-06-24 10:53:58;6.5;-9999.0
GMC_43991129148;2017-06-24 10:53:57;7.0;-9999.0
GMC_13418589539;2017-06-24 10:53:50;52.5;-9999.0
GMC_3800046226;2017-06-24 10:53:41;29.0;-9999.0
GMC_11422030296;2017-06-24 10:53:33;9.0;-9999.0
GMC_2344758;2017-06-24 10:53:32;9.0;-9999.0
GMC_71594888910;2017-06-24 10:53:26;15.5;-9999.0
GMC_71594888910;2017-06-24 10:53:24;11.5;-9999.0
GMC_65690110242;2017-06-24 10:53:22;9.0;-9999.0
GMC_37264604156;2017-06-24 10:53:21;11.0;-9999.0
GMC_26431708726;2017-06-24 10:53:17;8.0;-9999.0
GMC_39390553968;2017-06-24 10:53:15;8.5;-9999.0
GMC_4941578;2017-06-24 10:52:48;13.0;-9999.0
GMC_49693833831;2017-06-24 10:52:44;12.0;-9999.0
GMC_50192541587;2017-06-24 10:52:35;14.0;-9999.0
GMC_20809198890;2017-06-24 10:52:31;12.0;-9999.0
GMC_5033004996;2017-06-24 10:52:30;14.0;-9999.0
GMC_34949962097;2017-06-24 10:52:24;11.0;-9999.0
GMC_16996975435;2017-06-24 10:52:17;11.5;-9999.0
GMC_14424546023;2017-06-24 10:52:11;8.0;-9999.0
GMC_38635237742;2017-06-24 10:51:52;8.0;-9999.0
GMC_40139127413;2017-06-24 10:51:30;6.5;-9999.0
GMC_74731881320;2017-06-24 10:51:08;7.7318;-9999.0
GMC_40103204093;2017-06-24 10:50:44;8.0;-9999.0
GMC_30245678171;2017-06-24 10:50:32;10.0;-9999.0
GMC_1006303671;2017-06-24 10:50:28;8.0;-9999.0
GMC_36874017171;2017-06-24 10:50:07;10.0;-9999.0
GMC_77158412085;2017-06-24 10:49:40;7.5;-9999.0
GMC_7814622031;2017-06-24 10:49:23;8.0;-9999.0
GMC_21609553840;2017-06-24 10:49:12;6.0;-9999.0
GMC_36200613359;2017-06-24 10:47:34;10.5;-9999.0
